,Match ID,Innings,Over,Ball,Runs From Ball,Wicket,current score
0,211028,1,1,1,0,0,0
1,211028,1,1,2,1,0,1
2,211028,1,1,3,0,0,1
3,211028,1,1,4,0,0,1
4,211028,1,1,5,0,0,1
5,211028,1,1,6,3,0,4
6,211028,1,2,1,0,0,4
7,211028,1,2,2,0,0,4
8,211028,1,2,3,1,0,5
9,211028,1,2,4,0,0,5
10,211028,1,2,5,0,0,5
11,211028,1,2,6,1,0,6
12,211028,1,3,1,4,0,10
13,211028,1,3,2,1,0,11
14,211028,1,3,3,0,0,11
15,211028,1,3,4,4,0,15
16,211028,1,3,5,4,0,19
17,211028,1,3,6,1,0,20
18,211028,1,4,1,0,0,20
19,211028,1,4,2,4,0,24
20,211028,1,4,3,4,0,28
21,211028,1,4,4,0,0,28
22,211028,1,4,5,0,1,28
23,211028,1,4,6,1,0,29
24,211028,1,5,1,1,0,30
25,211028,1,5,2,6,0,36
26,211028,1,5,3,1,0,37
27,211028,1,5,4,2,0,39
28,211028,1,5,5,1,0,40
29,211028,1,5,6,3,0,43
30,211028,1,6,1,1,0,44
31,211028,1,6,2,0,0,44
32,211028,1,6,3,4,0,48
33,211028,1,6,4,1,0,49
34,211028,1,6,5,0,1,49
35,211028,1,6,6,1,0,50
36,211028,1,7,1,1,0,51
37,211028,1,7,2,0,0,51
38,211028,1,7,3,1,0,52
39,211028,1,7,4,0,0,52
40,211028,1,7,5,4,0,56
41,211028,1,7,6,2,0,58
42,211028,1,8,1,1,0,59
43,211028,1,8,2,4,0,63
44,211028,1,8,3,2,0,65
45,211028,1,8,4,1,0,66
46,211028,1,8,5,1,0,67
47,211028,1,8,6,1,0,68
48,211028,1,9,1,1,0,69
49,211028,1,9,2,1,0,70
50,211028,1,9,3,1,0,71
51,211028,1,9,4,4,0,75
52,211028,1,9,5,1,0,76
53,211028,1,9,6,6,0,82
54,211028,1,10,1,1,0,83
55,211028,1,10,2,2,0,85
56,211028,1,10,3,4,0,89
57,211028,1,10,4,1,0,90
58,211028,1,10,5,1,0,91
59,211028,1,10,6,2,0,93
60,211028,1,11,1,1,0,94
61,211028,1,11,2,1,0,95
62,211028,1,11,3,4,0,99
63,211028,1,11,4,1,0,100
64,211028,1,11,5,0,1,100
65,211028,1,11,6,1,0,101
66,211028,1,12,1,1,0,102
67,211028,1,12,2,0,1,102
68,211028,1,12,3,0,0,102
69,211028,1,12,4,1,0,103
70,211028,1,12,5,1,0,104
71,211028,1,12,6,1,0,105
72,211028,1,13,1,1,0,106
73,211028,1,13,2,0,0,106
74,211028,1,13,3,1,0,107
75,211028,1,13,4,0,0,107
76,211028,1,13,5,1,0,108
77,211028,1,13,6,1,0,109
78,211028,1,14,1,0,1,109
79,211028,1,14,2,0,0,109
80,211028,1,14,3,1,0,110
81,211028,1,14,4,0,0,110
82,211028,1,14,5,1,0,111
83,211028,1,14,6,0,0,111
84,211028,1,15,1,3,0,114
85,211028,1,15,2,2,0,116
86,211028,1,15,3,1,0,117
87,211028,1,15,4,0,0,117
88,211028,1,15,5,1,0,118
89,211028,1,15,6,6,0,124
90,211028,1,16,1,1,0,125
91,211028,1,16,2,1,0,126
92,211028,1,16,3,0,0,126
93,211028,1,16,4,1,0,127
94,211028,1,16,5,4,0,131
95,211028,1,16,6,1,0,132
96,211028,1,17,1,1,0,133
97,211028,1,17,2,0,0,133
98,211028,1,17,3,4,0,137
99,211028,1,17,4,2,0,139
